------geckoformboundarybfd4ed13be973cd47e9404b9526c545e
Content-Disposition: form-data; name="file"; filename="comptes_rendement_2025-12-06(1).csv"
Content-Type: text/csv

﻿Type de compte;Catégorie;Ceanet;CEN;BCV;Valiant;PostFinance;Raiffeisen;UBS
Compte Courant;;;;;;;;
;Actif;1,1%;5%;2,5%;N/A;N/A;1,2%;prout
;Jeune;N/A;1,23%;2%;N/A;2,3%;N/A;N/A
;Senior;1,1%;N/A;2,5%;N/A;N/A;1,2%;caca
;;;;;;;;
Compte épargne;;;;;;;;
;Actif;1,1%;5,3%;2,1%;N/A;N/A;1,2%;4.2%
;Jeune;N/A;1,23%;2%;N/A;N/A;N/A;2,3%
;Senior;1,1%;N/A;2,3%;N/A;N/A;1,2%;caca
;;;;;;;;
Compte prévoyance;;;;;;;;
;2ème pilier;N/A;4.1%;4.2%;N/A;N/A;N/A;2,3%
;3ème pilier;1%;N/A;2,3%;N/A;N/A;2%;666%
------geckoformboundarybfd4ed13be973cd47e9404b9526c545e--
------geckoformboundaryf129770cd36542884c4aa254792eb8ab
Content-Disposition: form-data; name="file"; filename="comptes_rendement_2025-12-06(1).csv"
Content-Type: text/csv

﻿Type de compte;Catégorie;Ceanet;CEN;BCV;Valiant;PostFinance;Raiffeisen;UBS
Compte Courant;;;;;;;;
;Actif;1,1%;5%;2,5%;N/A;N/A;1,2%;prout
;Jeune;N/A;1,23%;2%;N/A;2,3%;N/A;N/A
;Senior;1,1%;N/A;2,5%;N/A;N/A;1,2%;caca
;;;;;;;;
Compte épargne;;;;;;;;
;Actif;1,1%;5,3%;2,1%;N/A;N/A;1,2%;4.2%
;Jeune;N/A;1,23%;2%;N/A;N/A;N/A;2,3%
;Senior;1,1%;N/A;2,3%;N/A;N/A;1,2%;caca
;;;;;;;;
Compte prévoyance;;;;;;;;
;2ème pilier;N/A;4.1%;4.2%;N/A;N/A;N/A;2,3%
;3ème pilier;1%;N/A;2,3%;N/A;N/A;2%;666%
------geckoformboundaryf129770cd36542884c4aa254792eb8ab--
------geckoformboundarycb72f90279df97063afe9af6ce1cad12
Content-Disposition: form-data; name="file"; filename="comptes_rendement_2025-12-06(1).csv"
Content-Type: text/csv

﻿Type de compte;Catégorie;Ceanet;CEN;BCV;Valiant;PostFinance;Raiffeisen;UBS
Compte Courant;;;;;;;;
;Actif;1,1%;5%;2,5%;N/A;N/A;1,2%;prout
;Jeune;N/A;1,23%;2%;N/A;2,3%;N/A;N/A
;Senior;1,1%;N/A;2,5%;N/A;N/A;1,2%;caca
;;;;;;;;
Compte épargne;;;;;;;;
;Actif;1,1%;5,3%;2,1%;N/A;N/A;1,2%;4.2%
;Jeune;N/A;1,23%;2%;N/A;N/A;N/A;2,3%
;Senior;1,1%;N/A;2,3%;N/A;N/A;1,2%;caca
;;;;;;;;
Compte prévoyance;;;;;;;;
;2ème pilier;N/A;4.1%;4.2%;N/A;N/A;N/A;2,3%
;3ème pilier;1%;N/A;2,3%;N/A;N/A;2%;666%
------geckoformboundarycb72f90279df97063afe9af6ce1cad12--
------geckoformboundary1518431e5e9bafd65b532aab365d07dd
Content-Disposition: form-data; name="file"; filename="comptes_rendement_2025-12-06(1).csv"
Content-Type: text/csv

﻿Type de compte;Catégorie;Ceanet;CEN;BCV;Valiant;PostFinance;Raiffeisen;UBS
Compte Courant;;;;;;;;
;Actif;1,1%;5%;2,5%;N/A;N/A;1,2%;prout
;Jeune;N/A;1,23%;2%;N/A;2,3%;N/A;N/A
;Senior;1,1%;N/A;2,5%;N/A;N/A;1,2%;caca
;;;;;;;;
Compte épargne;;;;;;;;
;Actif;1,1%;5,3%;2,1%;N/A;N/A;1,2%;4.2%
;Jeune;N/A;1,23%;2%;N/A;N/A;N/A;2,3%
;Senior;1,1%;N/A;2,3%;N/A;N/A;1,2%;caca
;;;;;;;;
Compte prévoyance;;;;;;;;
;2ème pilier;N/A;4.1%;4.2%;N/A;N/A;N/A;2,3%
;3ème pilier;1%;N/A;2,3%;N/A;N/A;2%;666%
------geckoformboundary1518431e5e9bafd65b532aab365d07dd--
------geckoformboundary4649021108a7bc90c3c4d10a36edd541
Content-Disposition: form-data; name="file"; filename="comptes_rendement_2025-12-06(1).csv"
Content-Type: text/csv

﻿Type de compte;Catégorie;Ceanet;CEN;BCV;Valiant;PostFinance;Raiffeisen;UBS
Compte Courant;;;;;;;;
;Actif;1,1%;5%;2,5%;N/A;N/A;1,2%;prout
;Jeune;N/A;1,23%;2%;N/A;2,3%;N/A;N/A
;Senior;1,1%;N/A;2,5%;N/A;N/A;1,2%;caca
;;;;;;;;
Compte épargne;;;;;;;;
;Actif;1,1%;5,3%;2,1%;N/A;N/A;1,2%;4.2%
;Jeune;N/A;1,23%;2%;N/A;N/A;N/A;2,3%
;Senior;1,1%;N/A;2,3%;N/A;N/A;1,2%;caca
;;;;;;;;
Compte prévoyance;;;;;;;;
;2ème pilier;N/A;4.1%;4.2%;N/A;N/A;N/A;2,3%
;3ème pilier;1%;N/A;2,3%;N/A;N/A;2%;666%
------geckoformboundary4649021108a7bc90c3c4d10a36edd541--
