Dernière mise à jour: dimanche 07/12/2025 15:21:24
;;;;;;;;;;;
Produit;Durée;BCV;HBL;Valiant;Migros Bank;Cler;PostFinance;BPS;Raiffeisen;Vaudoise;Retraites Populaires
Variable;;N/A;2,875%;N/A;N/A;3,00%;N/A;2,75%;3,00%;N/A;N/A
;;;;;;;;;;;
Fixe;2 ans;1,45%;1,28%;1,33%;1,02%;1,32%;N/A;1,20%;1,18%;N/A;N/A
;3 ans;1,46%;1,35%;1,40%;1,09%;1,39%;N/A;1,20%;1,24%;1,18%;N/A
;4 ans;1,55%;1,43%;1,48%;1,20%;1,48%;N/A;1,30%;1,37%;1,18%;N/A
;5 ans;1,63%;1,50%;1,58%;1,27%;1,56%;N/A;1,40%;1,49%;1,18%;N/A
;6 ans;1,71%;1,58%;1,64%;1,35%;1,63%;N/A;1,45%;1,58%;1,25%;N/A
;7 ans;1,77%;1,64%;1,73%;1,41%;1,70%;N/A;1,55%;1,68%;1,30%;N/A
;8 ans;1,84%;1,70%;1,78%;1,48%;1,77%;N/A;1,60%;1,76%;1,38%;N/A
;9 ans;1,90
